Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,Plays,NameASCII,PlayerId,MLBAMID
2002,"Timo Perez","NYM","CF",93,83,709.1,204,5,4,2,2,0,2,0,0,,,,,,0,"Timo Perez",891,340392
2002,"Timo Perez","NYM","LF",24,16,143.2,41,3,2,1,1,0,1,0,0,,,,,,0,"Timo Perez",891,340392
2002,"Timo Perez","NYM","RF",17,8,80.2,19,1,0,0,0,0,1,0,0,,,,,,0,"Timo Perez",891,340392
2002,"Mo Vaughn","NYM","1B",134,131,1124.2,1082,47,18,14,4,87,7,0,92,15,,,,,0,"Mo Vaughn",899,123678
2002,"Vance Wilson","NYM","1B",1,0,2,0,0,0,0,0,0,0,0,0,0,,,,,0,"Vance Wilson",903,136300
2002,"Eric Byrnes","OAK","CF",10,3,35,10,1,0,0,0,0,0,0,0,,,,,,0,"Eric Byrnes",905,291565
2002,"Eric Byrnes","OAK","LF",52,10,150.1,24,0,1,1,0,0,0,0,0,,,,,,0,"Eric Byrnes",905,291565
2002,"Eric Byrnes","OAK","RF",22,6,75.2,19,0,0,0,0,0,0,0,0,,,,,,0,"Eric Byrnes",905,291565
2002,"Eric Chavez","OAK","3B",143,143,1262,117,297,17,7,10,15,16,2,4,,,,,,0,"Eric Chavez",906,136767
2002,"Eric Chavez","OAK","LF",1,0,4,0,0,0,0,0,0,0,0,0,,,,,,0,"Eric Chavez",906,136767
2002,"Mike Colangelo","OAK","CF",1,1,7,1,0,0,0,0,0,0,0,0,,,,,,0,"Mike Colangelo",907,218694
2002,"Mike Colangelo","OAK","LF",14,1,38.2,7,0,0,0,0,0,0,0,0,,,,,,0,"Mike Colangelo",907,218694
2002,"Mike Colangelo","OAK","RF",5,3,29,9,0,0,0,0,0,0,0,0,,,,,,0,"Mike Colangelo",907,218694
2002,"Jermaine Dye","OAK","RF",111,109,957.1,170,2,5,2,3,0,0,1,0,,,,,,0,"Jermaine Dye",911,113679
2002,"Jeremy Giambi","PHI","1B",21,21,143,169,8,2,1,1,15,1,0,16,2,,,,,0,"Jeremy Giambi",913,136605
2002,"Jeremy Giambi","OAK","LF",40,40,323.1,62,0,1,0,1,0,0,0,0,,,,,,0,"Jeremy Giambi",913,136605
2002,"Jeremy Giambi","PHI","LF",2,2,13,4,0,0,0,0,0,0,0,0,,,,,,0,"Jeremy Giambi",913,136605
2002,"Jeremy Giambi","PHI","RF",18,17,132.2,22,0,2,2,0,0,0,0,0,,,,,,0,"Jeremy Giambi",913,136605
2002,"Scott Hatteberg","OAK","1B",90,88,720.1,768,74,5,2,3,77,4,0,73,2,,,,,0,"Scott Hatteberg",916,115608
2002,"David Justice","OAK","LF",53,49,390.2,74,3,2,2,0,0,0,0,0,,,,,,0,"David Justice",923,116798
2002,"David Justice","OAK","RF",23,23,195,50,0,0,0,0,0,1,0,1,,,,,,0,"David Justice",923,116798
2002,"Terrence Long","OAK","CF",162,158,1410,384,5,8,6,2,0,1,0,0,,,,,,0,"Terrence Long",927,150239
2002,"Frank Menechino","OAK","2B",32,31,278,36,92,1,0,1,11,4,6,0,,,,,,0,"Frank Menechino",931,236427
2002,"Frank Menechino","OAK","3B",4,1,18,1,5,1,0,1,1,1,0,0,,,,,,0,"Frank Menechino",931,236427
2002,"Frank Menechino","OAK","SS",2,0,6,2,1,0,0,0,1,0,1,0,,,,,,0,"Frank Menechino",931,236427
2002,"Carlos Pena","DET","1B",73,72,638.2,659,29,3,2,1,61,5,0,70,8,,,,,0,"Carlos Pena",934,150289
2002,"Carlos Pena","OAK","1B",40,39,339,352,42,1,1,0,22,3,0,23,7,,,,,0,"Carlos Pena",934,150289
2002,"Adam Piatt","OAK","1B",1,0,3,4,0,0,0,0,1,0,0,1,0,,,,,0,"Adam Piatt",935,276516
2002,"Adam Piatt","OAK","LF",40,29,277,55,1,0,0,0,0,0,0,0,,,,,,0,"Adam Piatt",935,276516
