PlayerName,PlayerId,G,AB,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
Danny Musser,1009406,1,2,2,1,0,0,0,0,0,0,,0,0,,0,,0,0
Jeff Musselman,1009407,48,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alex Mustaikis,1009411,6,6,6,1,1,0,0,0,3,0,,2,0,,0,0,0,0
Jeff Mutis,1009412,35,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Randy Myers,1009427,574,60,68,8,3,0,0,5,7,3,0,33,0,0,5,2,0,0
Richie Myers,1009428,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bob Myrick,1009430,82,16,16,2,0,0,0,0,3,0,0,5,0,0,0,0,0,0
Chris Nabholz,1009431,127,178,199,16,3,0,0,10,4,6,0,44,0,0,15,5,0,0
Russ Nagelson,1009436,62,76,90,14,1,0,1,9,4,13,1,20,0,0,1,0,0,0
Mike Nagy,1009439,87,133,146,14,3,1,0,8,8,6,0,45,1,0,6,4,1,0
Steve Nagy,1009440,21,26,30,4,1,0,1,5,3,3,,7,0,,1,1,0,0
Pete Naktenis,1009443,7,5,5,1,0,0,0,0,0,0,,0,0,,0,,0,0
Frank Naleway,1009444,1,2,4,0,0,0,0,0,0,1,,0,0,,1,,0,0
