Name,Team,G,GS,IP,O-Swing%,Z-Contact%,Contact%,Zone%,SwStr%,CSW%,K%,K%+,BB%,BB%+,K-BB%,BABIP,BABIP+,LOB%,LOB%+,HR/FB,LA,Barrel%,HardHit%,ERA,ERA-,xERA,FIP,FIP-,xFIP,xFIP-,SIERA,WHIP,WHIP+,Stuff+,Location+,Pitching+,WAR,RA9-WAR,NameASCII,PlayerId,MLBAMID
"Kaleb Ort","BOS",2,2,4.1,0.3103,0.875,0.76,0.4821,0.1071,0.3214,0.2941,126.80491310481186,0.0588,68.95720238167058,0.2353,0.2222222222222222,75.77962131680358,0.9091,126.32666513766169,0.4,14.581090753728693,0.3636,0.3636,6.230773801637651,137.26412365679073,,7.639658483812333,177.21172296859683,3.54737038508232,82.77115176599678,3.3604277721228213,1.1538470003032686,88.86478520531547,119.775,106.94107142857145,109.49642857142858,-0.07970640063285828,-0.0004157169896643609,"Kaleb Ort",20061,672391
"Garrett Richards","TEX",2,2,3,0.3333,0.7692,0.72,0.3571,0.125,0.2857,0.2143,96.45080595134904,0.1429,178.0047132057631,0.0714,0.375,130.80604134156812,0.8696,119.30385551611063,0.5,10.184055752224392,0.1111,0.3333,6,150.9661723489472,,7.445763142903646,184.99937631441128,4.09934649070104,103.9891138681824,4.663818835779744,2,159.66406739664984,89.4375,98.8625,94.91785714285713,-0.08078649640083313,-0.020201699808239937,"Garrett Richards",9784,572070
"Chi Chi González","- - -",5,5,19.2,0.2732,0.8804,0.8592,0.4245,0.0629,0.261,0.1429,63.82635357727185,0.0714,87.57636820417201,0.0714,0.3225806451612903,111.92017263346983,0.6967,95.83403467395647,0.173913043,10.03795492287838,0.0909,0.3939,5.949151580753718,151.40008927308565,,5.451412482345278,137.42802376218643,4.538630875599415,114.50971790174445,4.813295690111232,1.525423482244543,120.85191395921075,92.80360587002097,102.97116701607267,99.78417190775681,-0.08118440210819244,-0.09975200891494751,"Chi Chi Gonzalez",14663,592346
"Trevor Williams","- - -",39,39,183,0.315,0.9035,0.8276,0.3859,0.0811,0.2252,0.1711,76.62816510700759,0.0746,86.6629401625909,0.0966,0.30755711775043937,103.83608799274138,0.7504,104.40637577412556,0.16535433,16.00461758331603,0.1064,0.3846,5.262303967223065,122.63475852734226,,5.776824136836998,133.241533462342,5.036991381746563,117.03092269572839,4.929204509932103,1.5191282480664716,114.87805520701369,82.50911037414323,104.09270384787096,95.89758202480864,-0.08242414280539379,0.5518588125705719,"Trevor Williams",16977,592866
"Devin Smeltzer","- - -",13,13,66.2,0.3465,0.8912,0.8353,0.4093,0.0775,0.2549,0.1476,66.42584045981835,0.0664,82.42826533554873,0.0812,0.24623115577889448,85.70435254338679,0.8121,111.51953666905834,0.128712871,17.219726415780876,0.0755,0.3868,3.9149981331834156,101.6972202170171,,5.310985365602706,136.70655061711938,5.042105667447635,127.27009908798874,4.995759461106039,1.199999427795683,95.51453356164504,89.47897685389948,97.36902313882022,95.24885889378496,-0.09239500761032104,0.9696199744939804,"Devin Smeltzer",19487,656970
"Chris Ellis","BAL",2,2,4.1,0.18,0.875,0.7879,0.3976,0.0843,0.2048,0.08,36.00830093651471,0.24,299.04791997996955,-0.16,0.3125,109.00503445130676,0.5833,80.03300306567257,0,3.76133131980896,0,0.0625,10.384623002729418,273.6927197072303,,7.0355096106014265,182.6352870909475,8.743635888709345,223.58680714773874,8.368810917013953,2.538463400667191,202.65069574402767,96.03132530120483,84.6156626506024,88.49759036144577,-0.09250599890947342,-0.22264300286769867,"Chris Ellis",16125,595939
"Garrett Hill","DET",8,8,42.2,0.2998,0.9212,0.8628,0.4127,0.0634,0.2296,0.1135,51.09285920581218,0.0973,121.23564286468056,0.0162,0.23357664233576642,81.47529582345848,0.7312,100.32369666841126,0.09375,19.06155979886968,0.0979,0.4056,4.218746856788653,108.36190076766677,,5.432740580804071,139.5312234076283,5.825177820959679,148.43196150318076,5.755456798253467,1.3124990221120252,104.7794661622657,85.07884615384613,96.60082417582417,93.84684065934066,-0.09274770319461823,0.3766300082206726,"Garrett Hill",25097,682051
"Luis L. Ortiz","PIT",19,19,89,0.2986,0.8756,0.7763,0.3861,0.1004,0.2615,0.1597,71.44313100392024,0.1278,148.87471199478225,0.0319,0.28,94.38599273043764,0.7234,100.6905236733372,0.139784946,7.175297236942745,0.0903,0.4653,4.853932584269663,110.9067721631173,,5.487829083003355,126.88525387629893,5.283572869555334,122.37495296392221,5.594859168612077,1.595505617977528,120.44617837363398,103.24582757365503,94.45264282699523,95.74504373633589,-0.09793400764465332,0.4118426889181137,"Luis L. Ortiz",27646,682847
"Dylan Coleman","KCR",1,1,1,0,1,1,0.4091,0,0.2727,0,0,0.5,586.1362243471536,-0.5,0,0,1,138.95933166532376,0,25.98055076599121,0,0.5,0,0,,15.255039882659911,358.2236721312624,16.908392798900604,394.9256037193712,17.268804984569552,3,231.04827203769366,115.62727272727274,86.08636363636364,93.48636363636365,-0.10122399777173996,0.06720740348100662,"Dylan Coleman",22276,669395
"Dauri Moreta","CIN",1,1,0.1,0.3333,1,0.6667,0.4,0.2,0.2,0.3333,147.3791583167771,0,0,0.3333,1,342.6041933094308,0,0,1,9.496549606323242,0.5,1,54.00005632644807,1268.9933069950027,,36.11246423128858,846.529969382603,1.5535532486236212,39.83790307741026,1.8706326839993468,6.0000062584942295,469.06197205568725,100.35,82.28,86.5,-0.1037840023636818,-0.15467199683189392,"Dauri Moreta",21101,664294
